WS_001_FLOW_MEAN,WS_001_FLOW_MIN,WS_001_FLOW_MAX,WS_001_CONC_MEAN,WS_001_CONC_MIN,WS_001_CONC_MAX,DMW_FLOW_MEAN,DMW_FLOW_MIN,DMW_FLOW_MAX,ALK_FLOW_MEAN,ALK_FLOW_MIN,ALK_FLOW_MAX,WS_002_FLOW_MEAN,WS_002_FLOW_MIN,WS_002_FLOW_MAX,WS_002_CONC_MEAN,WS_002_CONC_MIN,WS_002_CONC_MAX,RPM_MEAN,RPM_MIN,RPM_MAX,PLANT_A,BAD_YIELD
87.127306,87.37622900000001,87.017004,64.9677,64.9677,64.9677,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.498316,86.71137399999999,86.444491,3.0,3.0,3.0,5008.1,5008.1,5008.1,1,BAD
87.200608,87.37622900000001,87.104682,65.001506,64.829,65.1761,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.497231,86.69575,86.46904,10.986111,10.0,11.0,5010.743818999999,5010.52,5011.12,1,BAD
91.551676,91.591823,91.48857199999999,30.000096999999997,29.9034,30.0992,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.484034,91.554199,91.446326,50.951389,50.0,52.0,5006.692569,5005.55,5008.64,1,GOOD
90.96025300000001,87.892424,91.663928,30.026402,28.02,31.5897,88.597187,88.598325,88.59585200000001,90.61527199999999,87.616324,91.43962900000001,90.59805,87.768873,91.441243,49.825,27.0,57.0,4958.45025,3974.91,5008.53,0,GOOD
87.323388,87.462261,87.280037,64.99831,64.9239,65.0802,92.93055,92.934958,92.91834,87.957784,88.105276,87.92965699999999,87.925793,88.087094,87.901033,18.916667,18.0,19.0,5007.6325,5006.14,5008.78,0,GOOD
87.35942800000001,87.462261,87.543071,59.99989300000001,59.9185,60.1202,92.311498,92.315439,92.300842,87.957784,88.105276,87.92965699999999,87.919969,88.08738100000001,87.875158,22.0,22.0,22.0,5009.962082999999,5009.56,5010.37,0,GOOD
91.47959499999999,91.591823,91.400894,29.999669,29.9506,30.052,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.482623,91.55295,91.448559,51.416667,51.0,52.0,5010.495208,5010.19,5010.68,1,GOOD
91.580996,91.67785500000001,91.48857199999999,30.00005,29.954,30.0467,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.485428,91.55641999999999,91.45045999999999,51.0,51.0,51.0,5009.0325,5008.65,5009.45,1,GOOD
90.70443,90.73149699999999,90.699472,29.513889000000002,29.0,30.0,88.597187,88.598325,88.59585200000001,90.464848,90.55003599999999,90.43678,90.297444,90.383063,90.273983,47.694444,47.0,48.0,5007.784861,5006.61,5008.85,1,GOOD
91.54068000000001,91.67785500000001,91.48857199999999,29.999935999999998,29.9459,30.0532,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.48360799999999,91.54809200000001,91.45269300000001,51.847221999999995,51.0,52.0,5007.152222,5003.35,5008.7,1,GOOD
87.103483,87.290196,87.104682,64.998993,64.8887,65.1163,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.49686,86.681917,86.469915,10.993056,10.0,11.0,5007.559097,5002.46,5010.22,0,BAD
91.530907,91.591823,91.48857199999999,30.001246000000002,29.9132,30.0564,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.482605,91.550498,91.446849,51.6875,51.0,53.0,5010.392569,5009.78,5010.96,1,GOOD
87.093099,87.032099,87.455393,64.983449,62.8554,65.8526,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.496462,86.698961,86.456535,0.9722219999999999,0.0,3.0,5008.595139,5008.14,5009.25,1,BAD
91.525409,91.67785500000001,91.400894,29.999523999999997,29.9574,30.053,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.48099300000001,91.54934200000001,91.450888,53.013889,53.0,54.0,5010.524514,5010.32,5010.82,1,GOOD
91.596878,91.67785500000001,91.57625,30.000367999999998,29.8911,30.0822,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.48262199999999,91.550776,91.449462,52.5,52.0,53.0,5008.635625,5007.84,5009.4,1,GOOD
87.135858,87.37622900000001,87.104682,64.99828199999999,64.6464,65.3131,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.497429,86.686691,86.469492,10.895833,10.0,11.0,5010.222014,5009.98,5010.51,0,BAD
87.337438,87.548294,87.280037,60.000102000000005,59.9362,60.065,92.311498,92.315439,92.300842,87.957784,88.105276,87.92965699999999,87.919834,88.088778,87.871714,22.0,22.0,22.0,5010.098542,5009.58,5010.57,0,GOOD
91.560838,91.591823,91.48857199999999,29.999848999999998,29.9364,30.0699,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.490843,91.552719,91.46984499999999,54.111111,53.0,55.0,5010.8283329999995,5010.63,5010.99,1,GOOD
87.20916,87.37622900000001,87.19236,65.002651,64.8999,65.1569,92.93055,92.934958,92.91834,87.957784,88.105276,87.92965699999999,87.912722,88.07222900000001,87.881943,19.0,19.0,19.0,5009.7374310000005,5009.4,5010.03,1,GOOD
91.43928000000001,91.50579,91.400894,29.999446999999996,29.9443,30.0359,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.482697,91.556374,91.444474,51.736111,51.0,53.0,5009.572361,5008.98,5009.98,1,GOOD
87.061707,86.42987099999999,87.104682,64.899764,60.044,65.0691,92.93055,92.934958,92.91834,87.847303,87.127372,87.92965699999999,87.816659,87.177638,87.891754,18.050847,15.0,19.0,4997.844915,4319.54,5009.69,0,BAD
91.47226500000001,91.50579,91.400894,29.999584000000002,29.9359,30.094,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.47920400000001,91.536989,91.449177,54.0,54.0,54.0,5010.347778,5009.72,5010.82,1,GOOD
91.338852,90.4734,91.313216,29.472527000000003,28.0,32.0,88.597187,88.598325,88.59585200000001,91.445634,90.55003599999999,91.43962900000001,91.45908,90.181866,91.448702,62.032967000000006,52.0,67.0,4999.283187,4918.16,5004.42,0,GOOD
91.22609399999999,91.333725,91.225539,29.999819,29.8915,30.0839,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.482789,91.547861,91.451268,49.5625,49.0,50.0,5008.717222,5008.22,5009.29,1,GOOD
91.48265,91.591823,91.400894,29.999413,29.9336,30.0461,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.483187,91.553922,91.44604100000001,52.263889,51.0,53.0,5009.475694,5009.25,5009.85,1,GOOD
91.596878,91.67785500000001,91.57625,30.000367999999998,29.8911,30.0822,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.48262199999999,91.550776,91.449462,52.5,52.0,53.0,5008.635625,5007.84,5009.4,1,GOOD
91.40140699999999,91.50579,91.400894,29.9987,29.9459,30.0507,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.482933,91.552071,91.446659,52.020833,52.0,53.0,5009.894931,5009.56,5010.25,1,GOOD
87.25253000000001,87.462261,87.19236,62.998385,62.78,63.1759,92.682929,92.68715,92.67134,87.957784,88.105276,87.92965699999999,87.92384399999999,88.069994,87.914735,20.0,20.0,20.0,5010.632986,5010.41,5010.84,1,GOOD
87.244589,87.37622900000001,87.19236,65.000614,64.9205,65.1112,92.93055,92.934958,92.91834,87.957784,88.105276,87.92965699999999,87.921413,88.078572,87.883544,19.0,19.0,19.0,5007.978403,5006.8,5009.71,1,GOOD
87.14196700000001,87.290196,87.104682,65.002099,64.8491,65.1979,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.495959,86.672409,86.471459,10.625,10.0,11.0,5009.433542,5008.9,5009.95,0,BAD
91.338852,90.4734,91.313216,29.472527000000003,28.0,32.0,88.597187,88.598325,88.59585200000001,91.445634,90.55003599999999,91.43962900000001,91.45908,90.181866,91.448702,62.032967000000006,52.0,67.0,4999.283187,4918.16,5004.42,0,GOOD
87.09371,87.290196,87.104682,65.000047,64.9013,65.1195,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.49639300000001,86.699511,86.4574,9.805556,9.0,10.0,5009.164375,5007.49,5010.1,1,BAD
